"X","probA","probB","probC","payoffA","payoffB","payoffC","stimtype","exA","exB","exC","wingap","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20","stimid"
147,0.43,0.5,0.74,28,20,12,4,12.04,10,8.88,2.04,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,147
1471,0.43,0.5,0.74,28,20,12,4,12.04,10,8.88,2.04,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,2,3,2,3,2,3,2,3,2,3,3,3,2,3,3,3,147
153,0.71,0.74,0.86,26,20,13,4,18.46,14.8,11.18,3.66,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,153
1531,0.71,0.74,0.86,26,20,13,4,18.46,14.8,11.18,3.66,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,2,3,2,1,3,2,3,1,3,1,3,3,2,3,3,3,2,3,3,153
155,0.49,0.45,0.48,10,25,16,1,4.9,11.25,7.68,3.57,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,155
1551,0.49,0.45,0.48,10,25,16,1,4.9,11.25,7.68,3.57,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,2,1,1,1,2,1,3,1,1,1,1,1,3,1,1,1,2,155
159,0.77,0.84,0.75,16,14,19,3,12.32,11.76,14.25,1.93,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,159
1591,0.77,0.84,0.75,16,14,19,3,12.32,11.76,14.25,1.93,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,3,2,2,1,159
162,0.46,0.51,0.52,28,16,14,4,12.88,8.16,7.28,4.72,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,162
1621,0.46,0.51,0.52,28,16,14,4,12.88,8.16,7.28,4.72,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,3,3,2,2,2,3,3,3,3,2,3,3,1,3,3,2,3,3,162
