"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.18,0.5,0.14,17,14,23,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,1.36437828783511,7.76647963497522,3.24700331197895,"<",">",">",">","<","<"
0.18,0.5,0.14,17,14,23,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,5.1915901851102,13.2932291925905,22.9702975563316,"<",">",">","<","<","<"
0.17,0.37,0.0043,26,14,22,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,3.55621837651047,6.33814288266458,0.639178562628365,"<",">",">",">","=","<"
0.17,0.37,0.0043,26,14,22,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,-8.33240739802179,0.693153877778735,2.14700840864606,"<",">",">",">",">","<"
0.79,0.91,0.46,14,11,14,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,9.87536328310154,7.60851684829352,6.81417165646131,"<",">",">",">","=","<"
0.79,0.91,0.46,14,11,14,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,8.60079983895546,23.6137348645338,30.9688239175549,"<",">",">",">","=","<"
0.6,0.73,0.094,23,13,30,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,15.3950865191174,9.52781199114805,4.0647977881925,"<",">",">",">","<","<"
0.6,0.73,0.094,23,13,30,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,5.11971748442716,16.2580278067351,4.08757327858284,"<",">",">",">","<","<"
0.58,0.8,0.44,12,14,29,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,5.75371105073679,11.2852322695788,13.1344023233056,"<",">","<","=","<","<"
0.58,0.8,0.44,12,14,29,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,5.87831853875883,-0.955400265790512,5.2305081277745,"<",">",">",">","<","<"
