"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20"
0.93,0.17,0.29,20,27,30,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,3,3,3,1,1,3,3,3,3,1,1,1,1,3,3,1,3,1,3
0.57,0.14,0.37,24,27,25,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.57,0.14,0.37,24,27,25,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
0.34,0.02,0.37,22,27,18,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,3,3,1,2,3,2,3,1,3,3,1,3,1,3,3,3
0.34,0.02,0.37,22,27,18,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,3,3,3,1,3,3,1,1,3,3,1,3,3,3,3,3,3,1
0.61,0.64,0.08,20,18,30,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1
0.61,0.64,0.08,20,18,30,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,3,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1
0.01,0.13,0.13,15,27,19,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,3,3,2,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2
0.01,0.13,0.13,15,27,19,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2
0.69,0.28,0.62,15,30,15,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,3,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1
0.69,0.28,0.62,15,30,15,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,2,1,2,3,1,1,1,1,2,1,2,2,1,1,1
0.97,0.13,0.33,19,29,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.97,0.13,0.33,19,29,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,3,1
0.53,0.76,0.62,21,18,15,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2
0.53,0.76,0.62,21,18,15,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
0.32,0.34,0.076,17,17,14,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.32,0.34,0.076,17,17,14,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.32,0.69,0.076,16,12,16,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,2,2,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2
0.32,0.69,0.076,16,12,16,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1
0.32,0.97,0.36,18,14,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,3,2,2,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2
0.32,0.97,0.36,18,14,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,2,3,2,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3
0.32,0.44,0.26,29,18,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,1,1,1
0.32,0.44,0.26,29,18,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,1,1
